MatrixSize,NumProcs,Multithreading,ExecTimeDir,ErrorDir,ExecTimeRob,ErrorRob
128,2,false,0.309327,0.00112232,0.357331,0.248312
128,2,true,0.262291,0.00112232,0.411749,0.248312
128,3,false,0.301376,0.00112232,0.332345,0.247908
128,3,true,0.277942,0.00112232,0.347094,0.247908
128,4,false,0.342175,0.00112232,0.302567,0.24788
128,4,true,0.234575,0.00112232,0.293209,0.24788
128,5,false,0.306582,0.00112232,0.33916,0.24776
128,5,true,0.33875,0.00112232,0.307993,0.24776
128,6,false,0.351225,0.00112232,0.372104,0.247926
128,6,true,0.309642,0.00112232,0.372845,0.247926
256,2,false,1.13213,0.3831,1.40878,0.348424
256,2,true,1.12056,0.3831,1.40766,0.348424
256,3,false,0.87107,0.3831,1.07059,0.377617
256,3,true,1.0426,0.3831,1.19563,0.377617
256,4,false,1.02184,0.3831,1.49696,0.342727
256,4,true,1.09458,0.3831,1.19432,0.342727
256,5,false,1.04124,0.3831,1.11357,0.318239
256,5,true,0.936714,0.3831,1.13742,0.318239
256,6,false,0.961262,0.3831,1.10003,0.369459
256,6,true,0.961384,0.3831,1.12525,0.369459
512,2,false,7.9612,5.30719,9.07811,4.26529
512,2,true,8.06491,5.30719,8.57221,4.26529
512,3,false,6.80431,5.30719,8.04396,5.41372
512,3,true,6.7841,5.30719,7.55002,5.41372
512,4,false,4.29599,5.30719,4.59464,5.37836
512,4,true,3.8133,5.30719,4.50978,5.37836
512,5,false,4.40112,5.30719,4.8263,5.3573
512,5,true,3.95302,5.30719,4.52013,5.3573
512,6,false,3.81321,5.30719,4.54242,6.05943
512,6,true,5.0788,5.30719,4.6784,6.05943
1024,2,false,35.2859,13.2432,36.5991,11.4774
1024,2,true,33.548,13.2432,37.5184,11.4774
1024,3,false,30.957,13.2432,34.8211,13.6074
1024,3,true,31.8052,13.2432,34.4079,13.6074
1024,4,false,31.7011,13.2432,32.7304,13.6825
1024,4,true,33.749,13.2432,33.3422,13.6825
1024,5,false,31.5138,13.2432,32.6802,13.411
1024,5,true,32.0212,13.2432,37.2415,13.411
1024,6,false,32.0653,13.2432,28.5181,15.444
1024,6,true,27.6787,13.2432,31.8135,15.444
